record_id,date,service,shift,patients_accueillis,personnel_present,actes_realises,temps_attente_moy_min,duree_moyenne_prise_en_charge_min,taux_occupation_lits_pct,satisfaction_patient_pct,cout_service_mad,revenu_service_mad,nb_incidents,nb_absences_personnel,productivite_actes_par_personne,statut_service,marge_service_mad
HOSP-00060,2026-04-21,Laboratoire,Matin,251.0,31.0,291.0,37.6,23.7,76.49,92.37,48208.06,34029.29,0,0,9.39,Sous tension,-14178.769999999997
HOSP-00061,2026-03-19,Pédiatrie,Après-midi,21.0,16.0,25.0,35.6,80.2,78.78,75.8,8389.45,52303.26,0,1,1.56,Normal,43913.81
HOSP-00062,2026-02-20,Médecine interne,Après-midi,18.0,44.0,22.0,31.9,72.1,63.44,76.24,48815.99,64799.78,1,0,0.5,Saturé,15983.79
HOSP-00063,2026-02-04,Laboratoire,Après-midi,127.0,14.0,127.0,28.4,69.1,66.44,65.94,29774.1,10027.95,0,1,9.07,Normal,-19746.149999999998
HOSP-00064,2026-02-23,Radiologie,Nuit,82.0,6.0,60.0,19.1,70.8,87.22,65.13,26966.06,17468.47,0,1,10.0,Saturé,-9497.59
HOSP-00065,2026-01-07,Bloc opératoire,Nuit,195.0,30.0,174.0,61.4,67.5,55.73,70.99,58024.33,39404.02,1,0,5.8,Normal,-18620.310000000005
HOSP-00066,2026-01-27,Consultation,Nuit,243.0,4.0,239.0,107.2,64.8,88.34,74.67,42160.23,20077.23,0,0,59.75,Saturé,-22083.000000000004
HOSP-00067,2026-04-18,Bloc opératoire,Matin,186.0,43.0,243.0,72.0,20.1,65.23,74.86,48171.53,89634.17,2,5,5.65,Normal,41462.64
HOSP-00068,2026-06-27,Cardiologie,Matin,133.0,31.0,92.0,33.5,57.8,60.93,72.76,23389.88,10880.64,1,2,2.97,Sous tension,-12509.240000000002
HOSP-00069,2026-02-20,Laboratoire,Matin,178.0,39.0,236.0,1.0,13.4,88.56,76.2,43984.89,20683.15,2,0,6.05,Saturé,-23301.739999999998
HOSP-00070,2026-06-03,Bloc opératoire,Après-midi,41.0,7.0,32.0,42.3,84.8,66.03,66.4,43245.53,43850.08,0,1,4.57,Sous tension,604.5500000000029
HOSP-00071,2026-04-18,Urgences,Nuit,49.0,37.0,62.0,46.3,46.1,48.48,72.91,13148.15,54751.69,0,0,1.68,Normal,41603.54
HOSP-00072,2026-03-29,Pédiatrie,Matin,214.0,5.0,196.0,80.7,53.5,78.03,66.23,45452.48,32463.92,0,0,39.2,Normal,-12988.560000000005
HOSP-00073,2026-03-31,Consultation,Nuit,180.0,27.0,224.0,59.8,49.8,84.03,62.63,16256.66,29627.74,0,0,8.3,Saturé,13371.080000000002
HOSP-00074,2026-04-18,Urgences,Nuit,130.0,39.0,111.0,19.5,36.9,48.88,74.07,23213.91,93156.35,0,0,2.85,Saturé,69942.44
HOSP-00075,2026-03-08,Pédiatrie,Matin,156.0,21.0,210.0,53.7,60.6,52.54,60.42,3125.07,36691.06,0,1,10.0,Normal,33565.99
HOSP-00076,2026-06-16,Médecine interne,Matin,258.0,18.0,229.0,58.2,39.3,53.91,83.49,63151.0,61134.2,0,3,12.72,Normal,-2016.800000000003
HOSP-00077,2026-05-16,Laboratoire,Nuit,85.0,12.0,109.0,49.4,90.7,45.22,67.7,5086.49,21111.79,2,2,9.08,Normal,16025.300000000001
HOSP-00078,2026-05-27,Médecine interne,Après-midi,96.0,30.0,73.0,35.9,72.7,97.58,89.17,7354.4,61545.81,0,0,2.43,Normal,54191.409999999996
HOSP-00079,2026-06-10,Médecine interne,Matin,103.0,22.0,106.0,53.9,82.6,60.94,57.11,58963.79,72448.79,0,1,4.82,Normal,13484.999999999993
HOSP-00080,2026-01-08,Médecine interne,Nuit,256.0,34.0,178.0,53.3,59.3,72.05,67.37,62389.05,37516.5,0,0,5.24,Saturé,-24872.550000000003
HOSP-00081,2026-02-27,Médecine interne,Après-midi,57.0,37.0,51.0,53.8,69.8,88.87,86.26,17262.28,76990.19,1,2,1.38,Normal,59727.91
HOSP-00082,2026-06-02,Bloc opératoire,Nuit,57.0,22.0,62.0,1.0,82.7,96.91,71.08,32032.94,56972.36,1,2,2.82,Normal,24939.420000000002
HOSP-00083,2026-06-07,Radiologie,Après-midi,99.0,42.0,104.0,49.9,67.9,61.34,94.17,65805.75,65772.24,0,0,2.48,Normal,-33.50999999999476
HOSP-00084,2026-06-21,Urgences,Nuit,132.0,29.0,158.0,37.5,55.3,86.1,69.81,15148.39,74357.66,0,0,5.45,Sous tension,59209.270000000004
HOSP-00085,2026-01-07,Consultation,Matin,72.0,20.0,60.0,7.6,84.4,80.53,71.3,48240.7,57944.81,2,0,3.0,Normal,9704.11
HOSP-00086,2026-01-12,Radiologie,Nuit,190.0,11.0,158.0,47.1,50.2,57.25,63.43,33993.6,25633.21,0,0,14.36,Saturé,-8360.39
HOSP-00087,2026-02-08,Radiologie,Après-midi,157.0,42.0,147.0,61.1,67.8,53.17,73.53,49864.46,73894.24,0,2,3.5,Critique,24029.780000000006
HOSP-00088,2026-03-28,Pédiatrie,Nuit,142.0,37.0,128.0,62.4,79.2,82.15,74.48,50977.39,64762.07,0,0,3.46,Sous tension,13784.68
HOSP-00089,2026-03-07,Pédiatrie,Nuit,68.0,26.0,72.0,17.3,71.8,74.22,79.54,50797.64,8263.14,0,1,2.77,Normal,-42534.5
HOSP-00090,2026-05-13,Cardiologie,Après-midi,201.0,43.0,155.0,43.1,45.8,49.54,75.67,58178.12,67822.41,1,3,3.6,Normal,9644.29
HOSP-00091,2026-04-14,Radiologie,Matin,209.0,31.0,221.0,53.7,51.9,60.41,59.78,4710.92,39163.64,0,1,7.13,Saturé,34452.72
HOSP-00092,2026-03-03,Urgences,Matin,217.0,11.0,248.0,97.7,41.7,96.11,65.02,32541.98,26396.93,0,3,22.55,Normal,-6145.049999999999
HOSP-00093,2026-05-02,Cardiologie,Après-midi,90.0,36.0,73.0,35.2,37.2,56.37,95.65,30506.8,42341.04,1,0,2.03,Saturé,11834.240000000002
HOSP-00094,2026-01-22,Laboratoire,Après-midi,141.0,36.0,97.0,50.9,54.8,72.59,79.57,36929.03,27079.08,0,1,2.69,Saturé,-9849.949999999997
HOSP-00095,2026-01-31,Radiologie,Après-midi,111.0,40.0,147.0,66.3,79.6,85.65,79.78,34306.25,16761.69,0,0,3.67,Normal,-17544.56
HOSP-00096,2026-01-12,Urgences,Après-midi,230.0,3.0,221.0,136.9,51.0,46.87,64.33,57875.39,14809.39,1,0,73.67,Saturé,-43066.0
HOSP-00097,2026-06-20,Laboratoire,Matin,44.0,33.0,39.0,93.6,52.7,85.73,78.63,34731.28,40540.18,0,0,1.18,Normal,5808.9000000000015
HOSP-00098,2026-03-27,Cardiologie,Matin,252.0,4.0,235.0,130.7,70.6,66.65,60.88,32329.72,29844.36,0,0,58.75,Saturé,-2485.3600000000006
HOSP-00099,2026-03-16,Bloc opératoire,Nuit,183.0,17.0,217.0,19.1,33.2,74.65,80.28,39968.18,71111.79,0,1,12.76,Saturé,31143.609999999993
HOSP-00100,2026-06-09,Laboratoire,Matin,232.0,25.0,289.0,92.8,25.1,84.53,58.79,63930.19,8228.96,1,0,11.56,Normal,-55701.23
HOSP-00101,2026-01-26,Radiologie,Nuit,86.0,30.0,61.0,31.6,56.5,52.25,61.86,63286.65,87466.67,1,1,2.03,Saturé,24180.019999999997
HOSP-00102,2026-02-24,Cardiologie,Après-midi,31.0,27.0,31.0,45.1,54.0,88.27,75.03,20745.2,54711.05,3,0,1.15,Normal,33965.850000000006
HOSP-00103,2026-06-25,Urgences,Matin,29.0,6.0,38.0,1.5,32.9,69.3,93.41,40505.77,74477.02,0,3,6.33,Saturé,33971.25000000001
HOSP-00104,2026-06-26,Médecine interne,Après-midi,85.0,27.0,59.0,49.4,48.4,100.96,72.48,17938.29,34831.52,0,2,2.19,Normal,16893.229999999996
HOSP-00105,2026-04-25,Médecine interne,Matin,119.0,25.0,102.0,68.0,21.7,96.66,99.0,19048.14,77932.52,0,1,4.08,Normal,58884.380000000005
HOSP-00106,2026-03-27,Laboratoire,Matin,118.0,16.0,151.0,21.6,45.0,93.65,96.09,9118.85,22724.18,0,0,9.44,Saturé,13605.33
HOSP-00107,2026-01-29,Laboratoire,Matin,136.0,22.0,163.0,39.6,14.8,103.02,78.81,35417.24,33271.66,0,1,7.41,Sous tension,-2145.5799999999945
HOSP-00108,2026-02-20,Consultation,Après-midi,48.0,14.0,56.0,7.8,83.7,96.25,90.04,64177.8,74088.29,1,0,4.0,Normal,9910.48999999999
HOSP-00109,2026-03-18,Radiologie,Après-midi,79.0,41.0,91.0,80.7,76.2,98.1,83.78,12738.25,34579.01,2,0,2.22,Sous tension,21840.760000000002
HOSP-00110,2026-05-18,Médecine interne,Après-midi,161.0,44.0,133.0,30.3,69.8,47.27,84.08,50483.89,36335.27,0,0,3.02,Normal,-14148.620000000003
HOSP-00111,2026-03-02,Cardiologie,Matin,238.0,3.0,159.0,151.5,47.0,78.7,,8411.47,72738.75,0,1,53.0,Saturé,64327.28
HOSP-00112,2026-04-06,Laboratoire,Matin,51.0,26.0,52.0,68.7,69.4,96.83,83.63,38642.53,28959.14,0,3,2.0,Normal,-9683.39
HOSP-00113,2026-01-09,Médecine interne,Après-midi,92.0,14.0,110.0,25.5,41.2,102.84,87.28,35119.18,49638.78,0,1,7.86,Normal,14519.599999999999
HOSP-00114,2026-02-02,Cardiologie,Nuit,181.0,43.0,216.0,44.7,37.6,95.29,77.7,17730.99,45971.98,2,1,5.02,Sous tension,28240.99
HOSP-00115,2026-04-04,Consultation,Nuit,220.0,22.0,217.0,24.3,57.8,46.83,68.23,61960.02,68434.94,0,0,9.86,Normal,6474.9200000000055
HOSP-00116,2026-03-04,Urgences,Nuit,164.0,37.0,177.0,51.8,58.4,71.72,74.61,10279.53,71720.58,0,1,4.78,Normal,61441.05
HOSP-00117,2026-03-29,Urgences,Nuit,247.0,26.0,222.0,80.8,41.7,54.44,75.08,42465.58,53699.79,2,1,8.54,Sous tension,11234.21
HOSP-00118,2026-06-10,Pédiatrie,Nuit,83.0,41.0,103.0,14.6,56.5,98.2,85.51,31281.76,28167.44,0,0,2.51,Saturé,-3114.3199999999997
HOSP-00119,2026-01-13,Consultation,Après-midi,17.0,41.0,16.0,66.4,77.6,69.83,85.31,9700.82,66241.82,1,1,0.39,Normal,56541.00000000001
HOSP-00120,2026-04-07,Radiologie,Après-midi,248.0,39.0,208.0,60.3,30.8,61.29,76.36,30024.22,32835.31,1,0,5.33,Normal,2811.0899999999965
HOSP-00121,2026-04-05,Cardiologie,Matin,88.0,15.0,82.0,77.4,70.0,93.86,68.96,12301.29,88089.93,0,1,5.47,Saturé,75788.63999999998
HOSP-00122,2026-02-07,Pédiatrie,Nuit,101.0,19.0,88.0,52.7,82.1,86.7,77.15,49936.21,90364.53,1,0,4.63,Saturé,40428.32
HOSP-00123,2026-01-16,Urgences,Matin,136.0,16.0,122.0,1.0,41.8,46.66,,46744.82,88618.46,0,0,7.62,Saturé,41873.64000000001
HOSP-00124,2026-02-24,Radiologie,Nuit,102.0,26.0,123.0,40.4,36.4,96.01,77.24,17804.37,39572.78,1,2,4.73,Normal,21768.41
HOSP-00125,2026-02-21,Radiologie,Après-midi,139.0,8.0,158.0,62.8,64.4,88.29,71.33,66308.07,26113.35,2,0,19.75,Normal,-40194.72000000001
HOSP-00126,2026-06-19,Cardiologie,Matin,73.0,38.0,61.0,3.6,55.1,105.49,64.94,16769.07,82895.53,0,2,1.61,Saturé,66126.45999999999
HOSP-00127,2026-02-25,Laboratoire,Après-midi,134.0,29.0,149.0,15.1,42.3,67.02,92.03,57193.92,8686.33,0,1,5.14,Saturé,-48507.59
HOSP-00128,2026-06-04,Urgences,Matin,217.0,12.0,,40.5,50.8,45.23,98.6,13779.94,59594.83,1,0,19.58,Saturé,45814.89
HOSP-00129,2026-03-09,Urgences,Après-midi,105.0,7.0,74.0,101.4,35.7,50.55,71.66,44159.15,70669.82,0,1,10.57,Normal,26510.670000000006
HOSP-00130,2026-04-03,Consultation,Après-midi,189.0,25.0,200.0,50.6,39.5,46.95,99.0,36974.49,74923.84,0,1,8.0,Normal,37949.35
HOSP-00131,2026-02-07,Consultation,Après-midi,252.0,26.0,333.0,,53.1,71.76,89.96,4715.65,49201.52,1,0,12.81,Sous tension,44485.869999999995
HOSP-00132,2026-03-24,Urgences,Nuit,233.0,12.0,267.0,13.0,64.9,98.78,86.74,43429.51,46028.4,0,1,22.25,Saturé,2598.8899999999994
HOSP-00133,2026-04-03,Cardiologie,Nuit,129.0,43.0,158.0,61.0,53.3,105.1,79.88,58563.0,62477.38,1,0,3.67,Sous tension,3914.3799999999974
HOSP-00134,2026-06-20,Médecine interne,Après-midi,234.0,25.0,178.0,37.5,88.9,99.71,64.36,34942.78,39937.2,1,0,7.12,Normal,4994.419999999998
HOSP-00135,2026-04-19,Médecine interne,Après-midi,82.0,8.0,65.0,43.6,48.1,51.54,86.89,32600.45,37473.37,0,2,8.12,Saturé,4872.920000000002
HOSP-00136,2026-05-17,Cardiologie,Après-midi,136.0,4.0,173.0,84.9,56.6,93.61,74.11,45783.02,11795.85,0,2,43.25,Normal,-33987.17
HOSP-00137,2026-02-17,Cardiologie,Après-midi,165.0,30.0,125.0,37.7,57.3,74.33,76.14,58301.07,76298.15,1,1,4.17,Saturé,17997.079999999994
HOSP-00138,2026-02-26,Bloc opératoire,Nuit,116.0,25.0,132.0,35.0,58.0,69.7,76.08,7434.99,55131.47,2,0,5.28,Saturé,47696.48
HOSP-00139,2026-02-25,Laboratoire,Nuit,164.0,34.0,174.0,44.4,63.8,58.78,64.18,40731.25,54603.16,0,0,5.12,Normal,13871.910000000003
HOSP-00140,2026-06-05,Bloc opératoire,Après-midi,110.0,8.0,141.0,45.6,62.8,87.63,86.0,24840.52,81344.61,0,1,17.62,Normal,56504.09
HOSP-00141,2026-01-30,Cardiologie,Matin,58.0,6.0,39.0,69.6,78.2,86.28,67.81,46555.36,32819.36,0,2,6.5,Sous tension,-13736.0
HOSP-00142,2026-05-07,Urgences,Matin,194.0,36.0,127.0,42.8,98.7,58.38,74.97,14950.55,19229.77,0,0,3.53,Sous tension,4279.220000000001
HOSP-00143,2026-05-30,Bloc opératoire,Nuit,72.0,5.0,73.0,60.2,80.0,84.52,86.25,37313.39,35115.05,0,0,14.6,Saturé,-2198.3399999999965
HOSP-00144,2026-02-09,Urgences,Après-midi,140.0,41.0,92.0,43.2,29.5,94.46,81.87,54962.32,73941.11,0,1,2.24,Sous tension,18978.79
HOSP-00145,2026-01-28,Bloc opératoire,Matin,152.0,3.0,157.0,119.8,18.1,99.94,93.4,6582.77,91132.49,2,1,52.33,Saturé,84549.72
HOSP-00146,2026-02-09,Pédiatrie,Nuit,94.0,33.0,64.0,60.6,86.6,99.56,90.14,5471.79,42764.73,0,0,1.94,Sous tension,37292.94
HOSP-00147,2026-01-12,Laboratoire,Nuit,36.0,28.0,33.0,37.0,47.9,79.48,83.63,47899.08,93215.08,1,1,1.18,Saturé,45316.0
HOSP-00148,2026-05-05,Laboratoire,Matin,164.0,28.0,157.0,57.0,46.9,73.6,72.21,38865.67,85139.69,0,0,5.61,Sous tension,46274.020000000004
HOSP-00149,2026-01-25,Consultation,Nuit,128.0,43.0,105.0,57.9,68.7,103.77,79.61,44369.92,57833.65,0,1,2.44,Saturé,13463.730000000003
HOSP-00150,2026-01-05,Bloc opératoire,Nuit,36.0,18.0,39.0,15.5,58.7,72.8,72.28,16786.85,70682.57,0,0,2.17,Normal,53895.72000000001
HOSP-00151,2026-02-16,Radiologie,Après-midi,117.0,20.0,145.0,63.4,65.7,56.29,87.04,42378.51,94951.55,0,0,7.25,Normal,52573.04
HOSP-00152,2026-01-27,Médecine interne,Après-midi,28.0,18.0,24.0,47.0,59.5,91.95,71.03,67403.88,16501.16,1,3,1.33,Saturé,-50902.72
HOSP-00153,2026-03-28,Urgences,Nuit,126.0,12.0,132.0,42.9,79.7,57.03,82.41,41538.67,81545.21,0,2,11.0,Saturé,40006.54000000001
HOSP-00154,2026-05-15,Urgences,Après-midi,97.0,25.0,92.0,25.8,79.6,45.5,80.07,37206.69,94890.45,4,4,3.68,Normal,57683.759999999995
HOSP-00155,2026-03-19,Bloc opératoire,Nuit,98.0,20.0,125.0,13.7,55.7,49.48,92.0,21991.7,89248.09,0,0,6.25,Normal,67256.39
HOSP-00156,2026-05-04,Laboratoire,Nuit,54.0,19.0,61.0,63.2,78.1,96.31,99.0,19295.02,53662.75,0,0,3.21,Normal,34367.729999999996
HOSP-00157,2026-04-24,Cardiologie,Matin,20.0,8.0,16.0,39.4,48.9,75.99,93.24,20615.85,38673.06,0,0,2.0,Normal,18057.21
HOSP-00158,2026-06-11,Laboratoire,Matin,221.0,4.0,226.0,124.6,64.7,73.84,56.4,56957.26,49983.66,0,0,56.5,Sous tension,-6973.5999999999985
HOSP-00159,2026-02-27,Radiologie,Après-midi,99.0,14.0,124.0,60.8,64.1,68.76,87.92,60215.51,18677.57,0,1,8.86,Normal,-41537.94
HOSP-00160,2026-05-11,Cardiologie,Matin,89.0,36.0,58.0,44.3,52.2,84.44,91.5,24745.45,89795.25,0,2,1.61,Normal,65049.8
HOSP-00161,2026-02-19,Bloc opératoire,Nuit,25.0,19.0,,24.1,42.0,56.0,81.73,13952.67,69516.01,0,0,1.0,Sous tension,55563.34
HOSP-00162,2026-03-26,Médecine interne,Matin,189.0,9.0,221.0,104.3,55.8,79.74,58.94,44641.27,32486.62,0,1,24.56,Saturé,-12154.649999999998
